"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0O950","2019-07-25 00:00:00","4.000","0.000","0.000","28.200","0.890","1007.900","-99.000","0.000","-99.000","-99.000","-99.000","32.000","","26.500",""
"C0M760","2019-07-25 00:00:00","40.000","118.000","0.600","27.300","0.970","1005.000","-99.000","0.000","-99.000","-99.000","-99.000","33.300","","25.000",""
"C0AH70","2019-07-25 00:00:00","34.000","261.000","1.500","28.000","0.780","1005.100","-99.000","5.500","-99.000","-99.000","-99.000","34.200","","26.300",""
"C0V250","2019-07-25 00:00:00","298.000","57.000","0.600","23.900","0.990","976.900","-99.000","35.500","-99.000","-99.000","-99.000","32.800","","21.800",""
"C0U980","2019-07-25 00:00:00","573.000","0.000","0.200","23.900","1.000","947.100","-99.000","10.000","-99.000","-99.000","-99.000","29.200","","21.500",""
"C0S740","2019-07-25 00:00:00","289.000","0.000","0.000","26.400","0.910","978.200","-99.000","0.000","-99.000","-99.000","-99.000","31.600","","24.300",""
"C0A940","2019-07-25 00:00:00","49.000","0.000","0.000","26.400","0.940","1003.300","-99.000","0.000","-99.000","-99.000","-99.000","32.200","","24.800",""
"C0A920","2019-07-25 00:00:00","196.000","139.000","0.400","26.200","0.920","985.900","-99.000","0.000","-99.000","-99.000","-99.000","30.800","","25.500",""
"C0T870","2019-07-25 00:00:00","135.000","0.000","0.000","24.400","0.990","994.300","-99.000","2.000","-99.000","-99.000","-99.000","31.400","","23.400",""
"C0O930","2019-07-25 00:00:00","69.000","54.000","1.500","26.300","0.990","1001.800","-99.000","0.000","-99.000","-99.000","-99.000","34.000","","23.800",""
"C0C460","2019-07-25 00:00:00","482.000","0.000","0.000","23.100","0.990","956.400","-99.000","0.500","-99.000","-99.000","-99.000","30.900","","21.500",""
"C0E520","2019-07-25 00:00:00","320.000","0.000","0.100","24.000","1.000","974.100","-99.000","0.000","-99.000","-99.000","-99.000","33.700","","21.700",""
"C0T9D0","2019-07-25 00:00:00","7.000","0.000","0.100","27.000","0.990","1008.800","-99.000","0.000","-99.000","-99.000","-99.000","31.300","","24.800",""
"C0I390","2019-07-25 00:00:00","1184.000","82.000","0.300","21.000","0.930","885.200","-99.000","0.000","-99.000","-99.000","-99.000","27.300","","17.900",""
"C0B020","2019-07-25 00:00:00","86.000","166.000","1.900","27.400","0.990","997.100","-99.000","0.500","-99.000","-99.000","-99.000","34.200","","25.200",""
"CM0170","2019-07-25 00:00:00","106.000","94.000","2.800","25.200","0.920","998.300","-99.000","0.000","-99.000","-99.000","-99.000","31.800","","22.900",""
"C0F860","2019-07-25 00:00:00","2215.000","0.000","0.200","14.700","1.000","782.400","-99.000","0.000","-99.000","-99.000","-99.000","22.800","","13.200",""
"C0U890","2019-07-25 00:00:00","116.000","214.000","0.800","26.200","0.990","997.000","-99.000","7.000","-99.000","-99.000","-99.000","31.600","","24.700",""
"C0G800","2019-07-25 00:00:00","15.000","198.000","1.100","27.600","0.940","1006.700","-99.000","0.000","-99.000","-99.000","-99.000","32.500","","25.900",""
"C0F850","2019-07-25 00:00:00","379.000","0.000","0.200","25.000","0.900","966.300","-99.000","0.000","-99.000","-99.000","-99.000","31.900","","21.900",""
"C0AH50","2019-07-25 00:00:00","275.000","102.000","0.500","27.400","0.990","977.900","-99.000","0.000","-99.000","-99.000","-99.000","31.300","","24.600",""
"C0Z160","2019-07-25 00:00:00","124.000","196.000","1.400","26.700","0.870","996.500","-99.000","0.000","-99.000","-99.000","-99.000","32.900","","18.900",""
"C0R540","2019-07-25 00:00:00","17.000","78.000","0.800","29.000","0.830","1006.800","-99.000","0.000","-99.000","-99.000","-99.000","31.700","","26.000",""
"C0K480","2019-07-25 00:00:00","56.000","0.000","0.000","27.600","0.850","1002.800","-99.000","0.000","-99.000","-99.000","-99.000","33.100","","25.100",""
"C0H890","2019-07-25 00:00:00","440.000","0.000","0.000","24.200","0.920","960.400","-99.000","0.000","-99.000","-99.000","-99.000","32.300","","22.200",""
"C0S770","2019-07-25 00:00:00","375.000","266.000","0.600","23.800","0.990","967.700","-99.000","0.000","-99.000","-99.000","-99.000","29.500","","22.300",""
